x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79
0.6334791,-0.16937377,-0.030104695,1.2808028,-0.79540306,-0.36495066,1.2130373,-0.20834793,0.11400974,-0.53636485,0.3257849,-0.37965542,1.1408294,-0.42136833,-0.9230601,0.76461023,-0.21942362,-0.30910257,0.53962964,0.07766445,0.060906757,0.032206062,1.6594764,-0.071777776,-0.40522915,0.1075912,-0.20894243,-0.11634145,-0.22935607,0.25789833,-0.01339242,0.12715237,-0.012800201,-0.04347817,0.19423963,0.06384826,0.08641617,0.4300545,1.1699238,0.1693123,-0.91228104,-0.14892943,0.07448951,-0.33391637,0.67094153,-0.28464833,-0.59802216,-0.28210002,0.16248325,0.1294179,-0.41820607,0.76243657,-0.16174969,0.41835007,1.1331362,0.058823187,-0.25543422,-0.58348453,-0.46286038,-0.31884548,0.088128746,-0.4192714,-0.21497577,0.28202534,-0.12334641,-0.5468947,0.0877156,0.37872943,-0.079310074,-0.25149798,1.2311821,0.22331968,-0.4024862,-0.5520466,0.15535031,-0.57160634,0.09445964,-0.18101898,-0.72226673,0.10899758
0.38749757,-1.0448581,-1.2976984,-0.955821,1.2053326,0.10320331,2.2872972,-0.4984148,0.5116374,0.16082211,-0.5353327,-1.935246,-0.9822327,-1.5037329,0.30309814,-0.44840917,1.027991,-0.68335027,-0.46277487,-0.35882902,1.964819,1.0414143,1.0355783,0.41942304,0.0007921002,0.25759324,-0.47872713,0.013372157,-0.08654533,-0.6355941,-1.4413623,-0.29067427,0.597832,-1.2439073,-1.6224883,-0.44295546,1.3185159,0.12730204,0.9667389,0.89750046,0.29436082,-0.024915686,-0.71313477,-0.34755504,0.6853138,-0.4382055,-0.48917645,0.9926107,0.7274298,-0.48486966,-0.86706364,0.033600245,1.6518848,-0.14876494,0.7019317,0.63085234,1.2711625,-0.4052303,-0.95569545,-0.85489184,0.16093549,-0.5330392,0.019432832,-0.18700486,0.528765,-0.9493859,0.007504945,-0.21798962,1.1546149,1.2909565,1.1357951,-0.31329244,-0.16778448,0.60211223,-0.39743492,-0.6354433,-0.98807454,-0.6437776,-0.1072011,-0.22439286
-0.59286225,-0.7730349,-0.019109359,1.1105447,-0.6465726,0.5190087,1.0509784,-0.17132257,-0.64655155,0.78600585,-0.44588265,-0.902011,1.0143043,-1.1321532,-0.6559721,0.1674886,-1.0291268,-0.07161576,0.50544095,0.07848966,0.26321292,0.6777429,1.1135396,0.12151156,-0.6349527,0.40572503,-0.27624378,-0.58522356,0.03553474,-0.2491967,-0.04974145,0.7549084,-0.11600639,-0.029535621,0.39223364,0.81816226,0.38711306,0.49368325,1.374948,0.25902963,-0.64904356,0.27834636,-0.046822015,0.22740819,0.08102233,-0.8751293,-0.39944124,0.06975357,-0.2989271,-0.26842415,0.042848643,0.7995918,-0.042737808,0.074936435,1.3325415,-0.1089082,-0.17821881,-0.43296584,-0.42598316,-0.1543174,0.13786696,-0.9221274,-0.34569502,0.34942442,-0.45915228,-0.2289486,-0.015765283,0.22904633,-0.20968318,0.028090235,1.1217313,0.09539248,-0.58218884,-0.17329147,0.13189282,-0.67072076,0.3704893,-0.40830472,-0.644524,0.5487356
-0.8680232,-1.131592,0.56950706,0.41224214,-0.5732609,-0.25062463,1.4362358,-0.38826826,-0.8156952,0.41204324,-0.36455962,-0.85823786,0.7173128,-1.1274107,-0.63199586,-0.24567184,-0.7579375,0.0025539205,1.0427765,0.21381722,0.33223635,0.5232344,1.1626443,0.06157472,-0.57534593,0.39444208,0.010442043,-0.46548417,0.2894692,-0.38816777,-0.28678462,0.5831653,-0.14223269,-0.237222,0.64031154,0.61503637,0.29121187,0.31544986,1.3528144,0.26081476,-0.43234217,0.23628817,-0.10428844,0.18813145,0.23878603,-0.7943972,-0.72951126,0.07983126,-0.032637943,-0.3925071,-0.047755938,0.70412725,0.13656838,0.09483976,1.3127781,-0.044918556,-0.36912015,-0.42098993,-0.2454403,-0.1055098,0.20104729,-0.6940047,-0.5997423,0.3685947,-0.57870835,-0.38766354,0.052425463,0.29053172,-0.2489019,0.23882298,1.2519605,0.11529311,-0.2928881,-0.33918762,0.032231644,-0.46129,0.39029992,-0.52146214,-0.58607197,0.33164588
-0.38319707,-1.0475417,0.2941365,0.9661696,0.23241931,-0.41393736,1.2245206,0.51544416,-0.6519872,-0.33198658,0.68212616,-0.9942194,1.0996356,-0.8035935,-0.6841469,-0.60805416,-0.94894373,0.019443287,0.4705024,0.41111755,0.33292386,0.26111785,1.5905852,-0.049262617,-0.7118012,0.04349424,0.068822674,-0.08736438,-0.11159687,-0.83709615,-0.22009705,0.092082694,-0.5625042,-0.012349325,0.2822657,0.34195244,0.47298244,-0.048808068,1.4222673,0.20610377,-0.31390578,0.27391344,0.08722693,0.07358811,0.6200229,-0.73073614,-0.74060607,-0.09387724,0.18730377,-0.30987018,-0.10004694,0.7152677,-0.07902385,0.19554505,1.3573898,0.14631452,-0.30994654,-0.34741536,-0.22041847,-0.44718367,-0.17503907,-0.8185446,-0.7150776,0.034339752,-0.63891757,-0.450629,0.088236704,0.2756838,-0.23991439,0.43590698,1.1256866,0.31368205,-0.5530645,-0.41676438,0.26181406,-0.578387,0.2265594,-0.4127459,-0.7969061,0.18452609
1.1341186,-0.60549724,0.4745811,1.2251198,-0.65284157,-1.0929431,1.8108652,0.21821277,-0.12330067,0.010498449,0.6529753,-0.5576752,0.7505476,-0.9537093,-0.60689056,0.47593838,0.035374798,-0.28948697,0.63618267,0.18884781,0.24113171,-0.05115896,1.9353818,-0.14587454,-0.53414845,0.582375,-0.00888765,-0.029200338,-0.34433523,-0.22790895,0.06343507,0.04082873,-0.12966007,-0.4330372,0.34953243,0.1703939,-0.084216565,-0.07016427,1.5755806,0.51227665,-0.72705656,0.2559953,0.10189339,-0.5087746,0.4545879,-0.31381345,-0.57005364,-0.40091705,0.25993547,-0.030018196,-0.39084205,0.8442352,-0.03741103,0.38399345,1.2634193,0.42973247,-0.22570954,-0.3767394,-0.35634878,-0.033421583,-0.06354702,-0.6968529,-0.19898574,0.19832414,-0.26768318,-0.6245316,0.06725866,0.45846868,-0.16569254,0.35504213,1.0625516,0.14370914,-0.16614394,-0.48516744,0.13676053,-0.51994085,0.094298914,-0.3015495,-0.7980188,0.2876873
-0.65748274,-0.8631313,-0.22584626,0.72162586,-0.58449084,0.45839715,1.0557736,0.18046147,-0.61543804,-0.30217126,-0.23853654,-0.6208402,0.7284404,-2.114993,-0.26136526,-0.10996617,-0.52967036,-0.24122593,0.3580494,0.30774245,-0.06754913,0.49903104,1.4321108,-0.011241552,-0.7295263,-0.26233858,-0.38780516,0.056187335,0.015051146,-0.71629846,-0.15906051,0.49611518,-0.0060649444,-0.29218352,0.67599005,0.65448594,0.22601247,0.15059532,1.1114665,0.474336,-0.35541648,0.20873553,0.08063574,0.09780341,0.4554746,-1.0341101,-0.3442573,-0.07436992,-0.13454017,-0.35333675,-0.08268501,0.6294647,-0.07770386,0.10678994,1.1315829,-0.13056467,-0.23875405,-0.10865326,-0.5764457,-0.24526203,0.21222845,-0.75593615,-0.34977016,0.5164525,-0.41884243,-0.2082321,-0.24312802,0.4761676,0.013229585,0.1714745,1.160586,0.2758434,-0.324855,-0.32416633,-0.06287172,-0.38193557,0.41544396,-0.2778151,-0.70634234,0.30118117
-0.20104147,-0.5759131,0.3904416,1.9084275,-0.039632957,0.3666418,0.98636866,0.47498375,-0.6004527,-0.4207474,0.27354565,-1.0319389,1.1014227,-1.2339951,-0.8080418,0.027131347,-0.7970972,-0.44408917,0.7688152,0.045536224,0.016508764,0.66297185,0.998576,-0.39072204,-0.5539131,0.39181805,-0.52301574,-0.51103014,0.1829743,-0.6087162,-0.46896526,0.5464692,-0.52234185,-0.082840934,0.44444576,0.61489385,0.4798572,0.008873669,1.1818087,0.35335013,-0.52001965,0.21118222,0.1621801,-0.019764762,0.6908752,-0.72913617,-0.64796054,-0.14060007,0.13938357,-0.36407375,-0.11744219,0.92298734,-0.14942586,0.16061975,1.1291343,-0.08905811,-0.3953483,-0.28135568,-0.2592484,-0.5030758,-0.20316221,-0.93942696,-0.31477895,0.37989566,-0.51618034,-0.4865443,0.17232645,0.5229488,-0.16403875,0.20374444,1.0637666,0.3417791,-0.38313922,-0.43508786,0.08620337,-0.46015847,0.34993252,-0.47641003,-0.712779,0.4514081
0.018464265,0.09471732,0.7879144,0.8626254,-0.65979564,-0.5956412,1.6471153,-0.38970557,-0.49975634,-0.4049256,1.0292993,-0.58344066,1.2922807,-1.1656383,-0.8471837,0.2101463,-0.49098364,-0.21619202,0.9399633,0.124835245,0.38625893,-0.31394336,1.7540787,0.0015905661,-0.298066,0.1986854,-0.32402962,0.1988719,-0.25452593,-0.47789723,-0.18104704,0.7090007,-0.26127413,0.012614831,0.6646665,0.14289673,0.12804629,0.23874642,1.6065494,0.30005437,-0.4806612,-0.04858665,-0.012751125,-0.11484799,0.65343124,-0.55002487,-0.5056262,-0.2938356,0.15450846,-0.21413943,-0.3693668,0.8134532,-0.2540735,0.30129215,1.3601211,0.2309627,-0.15174659,-0.5774037,-0.2387064,-0.21971132,-0.058185,-0.8548226,-0.33702743,0.23575965,-0.54185295,-0.5518916,0.054197453,0.46454722,-0.20892236,0.306057,1.2133626,0.20799364,-0.36006182,-0.66819644,0.10787832,-0.53274775,0.15578273,-0.34813526,-0.6809578,0.40346444
-1.2495058,-0.8710632,0.21947867,0.69150347,-0.5101229,-0.7785016,1.6149925,-0.59692115,-0.52641654,0.7401771,0.24558204,-0.817255,0.8562026,-1.4074762,-0.31165072,0.028773194,-0.8639321,-0.19172384,1.0994176,0.30271208,0.4272199,0.61813277,1.2274606,0.14922579,-0.3105541,0.34573993,0.22063008,-0.2586401,0.07494763,-0.45301747,-0.80005604,0.8600036,-0.09147152,-0.109672286,0.5803494,0.38778222,0.2481799,0.17693537,1.5435239,0.33377054,-0.18646373,0.27447343,-0.22361974,0.5247948,0.4112398,-0.7433881,-0.6534771,0.31992045,0.0141923595,-0.6625105,-0.14187166,0.6231709,0.017629279,0.028575337,1.3871709,-0.110424936,0.056556314,-0.41245556,-0.24853344,0.101255804,0.051580843,-0.74636096,-0.6847391,0.47242028,-0.6251679,-0.5136323,0.11896149,0.22557461,-0.25115082,0.19450526,1.2642821,0.07644108,-0.41107744,-0.2819091,0.0938994,-0.3126646,0.0569502,-0.30134478,-0.5502456,0.53727484
